Ref,Val,Package,PosX,PosY,Rot,Side
"C1","CL21B104K","C_2012Metric",61.000000,35.500000,-90.000000,top
"C2","CL21B104K","C_2012Metric",52.500000,55.500000,0.000000,top
"C3","CL31B475K","C_3216Metric",67.000000,48.000000,90.000000,top
"C4","CL21B104K","C_2012Metric",89.000000,67.500000,0.000000,top
"C5","CL21B104K","C_2012Metric",98.200000,67.500000,0.000000,top
"C6","CL21B104K","C_2012Metric",25.500000,22.000000,90.000000,top
"C7","CL31B475K","C_3216Metric",22.000000,22.500000,90.000000,top
"C8","CL21B104K","C_2012Metric",112.500000,17.500000,-90.000000,top
"C9","CL21B104K","C_2012Metric",94.500000,17.500000,-90.000000,top
"C10","CL21B104K","C_2012Metric",76.500000,17.500000,-90.000000,top
"C11","CL21B104K","C_2012Metric",58.500000,17.500000,-90.000000,top
"C12","CL21B104K","C_2012Metric",40.500000,17.500000,-90.000000,top
"D7","LL4148","LL4148_MELF",142.000000,35.000000,0.000000,top
"Q1","KRC105S","SOT-23_KRC105S",142.000000,40.500000,90.000000,top
"R1","W4J0470","R_3216Metric",104.500000,69.000000,-90.000000,top
"R2","W8J0561","R_2012Metric",119.000000,55.000000,180.000000,top
"R3","W8J0561","R_2012Metric",119.000000,44.000000,180.000000,top
"R4","W8J0561","R_2012Metric",119.000000,33.000000,180.000000,top
"R5","W8J0561","R_2012Metric",30.500000,55.000000,0.000000,top
"R6","W8J0561","R_2012Metric",30.500000,44.000000,0.000000,top
"R7","W8J0561","R_2012Metric",30.500000,33.000000,0.000000,top
"R8","W8J0103","R_2012Metric",109.500000,17.500000,90.000000,top
"R9","W8J0103","R_2012Metric",91.500000,17.500000,90.000000,top
"R10","W8J0103","R_2012Metric",73.500000,17.500000,90.000000,top
"R11","W4J0220","R_3216Metric",136.500000,39.500000,90.000000,top
"R12","W8J0103","R_2012Metric",55.500000,17.500000,90.000000,top
"R13","W8J0103","R_2012Metric",37.500000,17.500000,90.000000,top
"U1","74HCT574PWR","TSSOP-20_4.4x6.5mm_P0.65mm",52.500000,49.000000,0.000000,top
"U2","74HCT574PWR","TSSOP-20_4.4x6.5mm_P0.65mm",54.000000,35.500000,-90.000000,top
