"Value","Reference","Footprint","LCSC"
"GRN","D5","03_MyFoot_Active:LED_EXT",""
"RED","D2","03_MyFoot_Active:LED_H_LSET",""
"GRN","D1","03_MyFoot_Active:LED_NORMAL",""
"RED","D4","03_MyFoot_Active:LED_REMOTE",""
"RED","D6","03_MyFoot_Active:LED_TXRX",""
"74HCT574PWR","U1,U2","01_MyFoot_ICs:TSSOP-20_4.4x6.5mm_P0.65mm","C2652839"
"Conn_02x10_Odd_Even","J6","02_MyFoot_Connectors:IDC-Header_2x10_P2.54mm_Vertical",""
"SF1205A","BZ1","03_MyFoot_Active:Buzzer_12x9.5RM7.6",""
"LL4148","D7","03_MyFoot_Active:LL4148_MELF","C68883"
"GRN","D3","03_MyFoot_Active:LED_8POWER",""
"KRC105S","Q1","03_MyFoot_Active:SOT-23_KRC105S","C112793"
"CL21B104K","C1,C2,C4,C5,C6,C8,C9,C10,C11,C12","04_MyFoot_Passive:C_2012Metric","C1711"
"CL31B475K","C3,C7","04_MyFoot_Passive:C_3216Metric","C1872"
"W8J0561","R2,R3,R4,R5,R6,R7","04_MyFoot_Passive:R_2012Metric","C25319"
"W8J0103","R8,R9,R10,R12,R13","04_MyFoot_Passive:R_2012Metric","C25612"
"W4J0470","R1","04_MyFoot_Passive:R_3216Metric","C25384"
"W4J0220","R11","04_MyFoot_Passive:R_3216Metric","C25364"
"3362P103","RV1","04_MyFoot_Passive:TRIM_3362P",""
"LC1602A","LCD1","06_MyFoot_Mechanical:LC1602A",""
"Conn_01x01","J2,J3,J4,J5","06_MyFoot_Mechanical:MTHole_3.5mm_7.5mmPad_GND",""
"TS1103D","TS1,TS2,TS3,TS4,TS5","06_MyFoot_Mechanical:SW_PUSH-12mm",""
