Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,Buzzer_12x9.5RM7.6,1,SF1205A,
"C1, C10, C11, C12, C2, C4, C5, C6, C8, C9",C_2012Metric,10,CL21B104K,
"C3, C7",C_3216Metric,2,CL31B475K,
D1,LED_NORMAL,1,GRN,
D2,LED_H_LSET,1,RED,
D3,LED_8POWER,1,GRN,
D4,LED_REMOTE,1,RED,
D5,LED_EXT,1,GRN,
D6,LED_TXRX,1,RED,
D7,LL4148_MELF,1,LL4148,
"J2, J3, J4, J5",MTHole_3.5mm_7.5mmPad_GND,4,Conn_01x01,
J6,IDC-Header_2x10_P2.54mm_Vertical,1,Conn_02x10_Odd_Even,
LCD1,LC1602A,1,LC1602A,
Q1,SOT-23_KRC105S,1,KRC105S,
R1,R_3216Metric,1,W4J0470,
"R10, R12, R13, R8, R9",R_2012Metric,5,W8J0103,
R11,R_3216Metric,1,W4J0220,
"R2, R3, R4, R5, R6, R7",R_2012Metric,6,W8J0561,
RV1,TRIM_3362P,1,3362P103,
"TS1, TS2, TS3, TS4, TS5",SW_PUSH-12mm,5,TS1103D,
"U1, U2",TSSOP-20_4.4x6.5mm_P0.65mm,2,74HCT574PWR,
