Designator,Mid X,Mid Y,Rotation,Layer
BZ1,143.0,24.0,0.0,top
C1,61.0,35.5,270.0,top
C10,76.5,17.5,270.0,top
C11,58.5,17.5,270.0,top
C12,40.5,17.5,270.0,top
C2,52.5,55.5,0.0,top
C3,67.0,48.0,90.0,top
C4,89.0,67.5,0.0,top
C5,98.2,67.5,0.0,top
C6,25.5,22.0,90.0,top
C7,22.0,22.5,90.0,top
C8,112.5,17.5,270.0,top
C9,94.5,17.5,270.0,top
D1,126.0,55.0,0.0,bottom
D2,126.0,44.0,0.0,bottom
D3,126.0,33.0,0.0,bottom
D4,24.0,55.0,0.0,bottom
D5,24.0,44.0,0.0,bottom
D6,24.0,33.0,0.0,bottom
D7,142.0,35.0,0.0,top
J2,14.0,8.0,0.0,top
J3,136.0,8.0,0.0,top
J4,136.0,66.0,0.0,top
J5,14.0,66.0,0.0,top
J6,10.0,38.5,0.0,top
LCD1,74.99955,45.29965,0.0,bottom
Q1,142.0,40.5,270.0,top
R1,104.5,69.0,270.0,top
R10,73.5,17.5,90.0,top
R11,136.5,39.5,90.0,top
R12,55.5,17.5,90.0,top
R13,37.5,17.5,90.0,top
R2,119.0,55.0,180.0,top
R3,119.0,44.0,180.0,top
R4,119.0,33.0,180.0,top
R5,30.5,55.0,0.0,top
R6,30.5,44.0,0.0,top
R7,30.5,33.0,0.0,top
R8,109.5,17.5,90.0,top
R9,91.5,17.5,90.0,top
RV1,113.73,69.5,90.0,top
TS1,111.0,14.0,180.0,bottom
TS2,93.0,14.0,180.0,bottom
TS3,75.0,14.0,180.0,bottom
TS4,57.0,14.0,180.0,bottom
TS5,39.0,14.0,180.0,bottom
U1,52.5,49.0,270.0,top
U2,54.0,35.5,180.0,top
