,Ref,Val,Package,PosX,PosY,Rot,Side
1,C5,MLCC104,C_3216Metric,53,55.8,-90,top
2,C6,MLCC102,C_3216Metric,48.5,55.8,-90,top
3,C8,MLCC471,C_3216Metric,123.4,13.475,-90,top
4,C9,MLCC104,C_3216Metric,64.7,33.5,0,top
5,C11,MLCC475,C_3216Metric,77.8,5.4,90,top
6,C12,MLCC104,C_3216Metric,88.3,5.325,90,top
7,C13,MLCC475,C_3216Metric,82.9875,5.4,90,top
8,C15,MLCC102,C_3216Metric,70.9,5.325,90,top
9,C19,MLCC224,C_3216Metric,65.4,5.325,90,top
10,C26,MLCC104,C_3216Metric,25.75,72.6,-90,top
11,C27,MLCC104,C_3216Metric,27.7,42.5,90,top
12,C28,MLCC104,C_3216Metric,23.4,15.1,90,top
13,C30,MLCC104,C_3216Metric,17.9,15.1,90,top
14,LED1,RED/3Pi,LED_2012Metric,111.6,3.3,90,top
15,LED2,RED/3Pi,LED_2012Metric,57.5,5.2,180,top
16,R2,1K,R_3216Metric,143,25,0,top
17,R6,10K,R_3216Metric,128,16,90,top
18,R7,4.7R,R_3216Metric,64,44,-90,top
19,R8,4.7R,R_3216Metric,67,44,90,top
20,R9,4.7K,R_3216Metric,83.5,14.6,0,top
21,R10,3.3K,R_3216Metric,83.5,11.6,0,top
22,R11,10K,R_3216Metric,83.5,17.6,0,top
23,R12,820R,R_3216Metric,83.5,20.6,180,top
24,R13,1.2K,R_3216Metric,83.5,23.6,180,top
25,R14,10R,R_3216Metric,18.2,89.375,-90,top
26,R15,10R,R_3216Metric,35.1,57,0,top
27,R16,10R,R_3216Metric,49,29,180,top
28,R17,68K,R_3216Metric,66.5,14.6,180,top
29,R20,10K,R_3216Metric,66.5,17.6,180,top
30,R21,1K,R_3216Metric,101.1,3,0,top
31,R22,680R,R_3216Metric,47.3,4.5,180,top
32,R23,330R,R_3216Metric,101.1,6.1,0,top
