Reference,Qty,Value
"A1,A2,ACL1,ACL2,ACN1,ACN2,FG1,G1",8,TAP_250
"C1,C2,C14",3,DS222M/250VAC
C3,1,MP104K/275V
C4,1,EC82uF/400V
"C5,C9,C12,C26,C27,C28,C30",7,MLCC104
"C6,C15",2,MLCC102
C7,1,CC472/630V
C8,1,MLCC471
C10,1,EC47uF/35V
C11,1,NOT
C13,1,MLCC475
"C16,C17,C18",3,CC471/1kV
C19,1,MLCC224
C20,1,EC1000uF/35V
"C21,C22",2,EC1000uF/25V
C23,1,EC470uF/35V
"C24,C25",2,EC470uF/25V
C29,1,EC220uF/25V
C31,1,MPP104/600V
"C32,C33",2,CR1201
D1,1,GBJ406
D2,1,UF4007
D3,1,UF4004
D4,1,1N5251
"D5,D6,D7",3,MUR1640FCT
F2,1,SR5/2.5A
J2,1,SMW250-06P
J3,1,SMW250-02P
L1,1,22uH/4.2A
L2,1,10uH/4.2A
L3,1,4.7uH/4.2A
"LED1,LED2",2,RED/3Pi
LF1,1,LF1140_602
R1,1,560K/1W
"R2,R13",2,1.2K
"R3,R4",2,1.1R/1W/F
R5,1,56K/2W
"R6,R11,R20",3,10K
"R7,R8",2,4.7R
R9,1,1K
"R10,R22",2,4.7K
R12,1,820R
"R14,R15,R16",3,10R
R17,1,68K
R18,1,1K
R19,1,40K
R21,1,3.3K
R23,1,220R
R24,1,220R/1W
R25,1,2K/1W
R26,1,100K/NOT
RV1,1,TNR14D471
T1,1,EI2811BP
T2,1,EER28
U1,1,ICE3BR0665J
U2,1,H11AA1
U3,1,PC817
U4,1,ATTINY85-20PU_1
U5,1,MOC3021M
U6,1,LM7805_TO220
VR1,1,TL431A
