Ref,Val,Package,PosX,PosY,Rot,Side
"C5","MLCC104","C_3216Metric",42.200000,53.000000,0.000000,top
"C6","MLCC102","C_3216Metric",42.200000,48.500000,0.000000,top
"C8","MLCC471","C_3216Metric",79.000000,118.000000,-90.000000,top
"C9","MLCC104","C_3216Metric",64.410000,54.490000,-90.000000,top
"C11","MLCC335","C_3216Metric",83.000000,63.500000,90.000000,top
"C12","MLCC104","C_3216Metric",79.000000,85.500000,-90.000000,top
"C13","MLCC335","C_3216Metric",86.000000,63.500000,90.000000,top
"C15","MLCC102","C_3216Metric",74.000000,63.500000,90.000000,top
"C19","MLCC224","C_3216Metric",80.000000,63.500000,-90.000000,top
"C26","MLCC104","C_3216Metric",28.000000,22.000000,-90.000000,top
"C27","MLCC104","C_3216Metric",54.800000,26.000000,180.000000,top
"C28","MLCC104","C_3216Metric",82.900000,23.400000,180.000000,top
"C30","MLCC104","C_3216Metric",82.900000,17.900000,180.000000,top
"LED1","LED_SMD","LED_2012Metric",94.500000,92.000000,90.000000,top
"LED2","LED_SMD","LED_2012Metric",46.000000,7.200000,90.000000,top
"R2","1.2K","R_3216Metric",75.500000,118.000000,90.000000,top
"R6","10K","R_3216Metric",77.000000,109.000000,180.000000,top
"R7","4.7R","R_3216Metric",53.000000,63.000000,0.000000,top
"R8","4.7R","R_3216Metric",53.000000,66.000000,180.000000,top
"R9","1K","R_3216Metric",82.000000,76.000000,-90.000000,top
"R10","4.7K","R_3216Metric",85.000000,76.000000,-90.000000,top
"R11","10K","R_3216Metric",79.000000,76.000000,-90.000000,top
"R12","820R","R_3216Metric",76.000000,76.000000,-90.000000,top
"R13","1.2K/F","R_3216Metric",73.000000,76.000000,90.000000,top
"R14","10R","R_3216Metric",12.500000,17.500000,0.000000,top
"R15","10R","R_3216Metric",42.000000,38.000000,90.000000,top
"R16","10R","R_3216Metric",76.000000,47.000000,90.000000,top
"R17","68K","R_3216Metric",77.000000,63.500000,90.000000,top
"R18","1K/F","R_3216Metric",68.000000,63.500000,-90.000000,top
"R19","40K/F","R_3216Metric",71.000000,63.500000,90.000000,top
"R20","10K/F","R_3216Metric",80.000000,55.500000,90.000000,top
"R21","1.2K","R_3216Metric",94.500000,98.000000,-90.000000,top
"R22","2.2K","R_3216Metric",41.000000,7.000000,-90.000000,top
"R23","220R","R_3216Metric",94.500000,107.500000,90.000000,top
"R27","100R","R_3216Metric",89.500000,89.500000,180.000000,top
