"Value","Reference","Footprint","LCSC"
"TAP_250","A1,A2,ACL1,ACL2,ACN1,ACN2,FG1,G1","02_MyFoot_Connectors:TAP_250",""
"MLCC104","C5,C9,C12,C26,C27,C28,C30","04_MyFoot_Passive:C_3216Metric","C1945"
"10R","R14,R15,R16","04_MyFoot_Passive:R_4532Metric","C2933875"
"10uH/4.2A","L1,L2,L3","04_MyFoot_Passive:L_Sumida_CDMC6D28_7.25x6.5mm","C436542"
"MUR1640FCT","D5,D6,D7","03_MyFoot_Active:TO220AB_P2.55mm","C3011035"
"CC471/1kV","C16,C17,C18","04_MyFoot_Passive:C_3216Metric","C9189"
"DS222M/250VAC","C1,C2,C14","04_MyFoot_Passive:DS222M",""
"4.7R","R7,R8","04_MyFoot_Passive:R_3216Metric","C25385"
"4.7K","R6,R10","04_MyFoot_Passive:R_3216Metric","C17936"
"1.1R/1W/F","R3,R4","04_MyFoot_Passive:R_6332Metric","C5154651"
"LED_SMD_KT_0805R","LED1,LED2","03_MyFoot_Active:LED_2012Metric","C2295"
"UF4007","D2,D3","03_MyFoot_Active:D_SMA","C81191"
"CR1201","C32,C33","04_MyFoot_Passive:SPARK_KILLER",""
"EC470uF/25V","C24,C25","04_MyFoot_Passive:CP_Radial_D10.0mm_P5.00mm",""
"EC1000uF/25V","C21,C22","04_MyFoot_Passive:CP_Radial_D10.0mm_P5.00mm",""
"MLCC335","C11,C13","04_MyFoot_Passive:C_3216Metric","C76663"
"MLCC102","C6,C15","04_MyFoot_Passive:C_3216Metric","C1941"
"TL431DBZ","VR1","01_MyFoot_ICs:SOT-23-3","C23892"
"LM7805_TO220","U6","01_MyFoot_ICs:TO-252-2","C21706"
"MOC3021SM","U5","01_MyFoot_ICs:SOIC-6_P2.54mm","C115465"
"ATTINY85-20PU_1","U4","01_MyFoot_ICs:DIP-8_W7.62mm_Socket",""
"TLP785(GB-TP6F)","U3","01_MyFoot_ICs:SOP-4_7.5x4.1mm_P2.54mm","C45445"
"EL354N","U2","01_MyFoot_ICs:SOIC-4_EL354_P2.54mm","C188348"
"ICE3BR0665J","U1","01_MyFoot_ICs:DIP-8_W7.62mm_Socket",""
"EER28","T2","04_MyFoot_Passive:EER28_35_12P",""
"EI2811BP","T1","04_MyFoot_Passive:EI2811BP",""
"3362P103","RV2","04_MyFoot_Passive:TRIM_3362P",""
"TNR14D471","RV1","04_MyFoot_Passive:TNR14D_P7.62",""
"100R","R27","04_MyFoot_Passive:R_3216Metric","C25348"
"100K/NOT","R26","04_MyFoot_Passive:R_Axial_0.25W_P10.16mm",""
"2K/1W","R25","04_MyFoot_Passive:R_6332Metric","C37457"
"220R/1W","R24","04_MyFoot_Passive:R_6332Metric","C38808"
"220R","R23","04_MyFoot_Passive:R_3216Metric","C17957"
"2.2K","R22","04_MyFoot_Passive:R_3216Metric","C26038"
"1.2K","R21","04_MyFoot_Passive:R_3216Metric","C26035"
"10K/F","R20","04_MyFoot_Passive:R_3216Metric","C17902"
"39K/F","R19","04_MyFoot_Passive:R_3216Metric","C18008"
"2K/F","R18","04_MyFoot_Passive:R_3216Metric","C17944"
"68K/F","R17","04_MyFoot_Passive:R_3216Metric","C25834"
"1.2K/F","R13","04_MyFoot_Passive:R_3216Metric","C17891"
"820R/F","R12","04_MyFoot_Passive:R_3216Metric","C17984"
"10K","R11","04_MyFoot_Passive:R_3216Metric","C1489"
"1K","R9","04_MyFoot_Passive:R_3216Metric","C17901"
"56K/2W","R5","04_MyFoot_Passive:R_Axial_2W_P20.32mm",""
"2.2K/F","R2","04_MyFoot_Passive:R_3216Metric","C17948"
"560K/1W","R1","04_MyFoot_Passive:R_Axial_1W_P14.6mm",""
"LF1140_602","LF1","04_MyFoot_Passive:LF1140",""
"SMW250-02P","J3","02_MyFoot_Connectors:SMW250_02P",""
"SMW250-06P","J2","02_MyFoot_Connectors:SMW250_06P",""
"SR5/2.5A","F1","05_MyFoot_Others:SR525ABK",""
"BZT52C22","D4","03_MyFoot_Active:D_SOD-123","C2108"
"GBJ406","D1","03_MyFoot_Active:GBJ406",""
"MPP104/600V","C31","04_MyFoot_Passive:C_PP_P10.0mm_P21.2mm",""
"EC220uF/25V","C29","04_MyFoot_Passive:CP_Elec_6.3x7.7","C2992606"
"EC470uF/35V","C23","04_MyFoot_Passive:CP_Radial_D10.0mm_P5.00mm",""
"EC1000uF/35V","C20","04_MyFoot_Passive:CP_Radial_D12.5mm_P5.00mm",""
"MLCC224","C19","04_MyFoot_Passive:C_3216Metric","C1857"
"EC47uF/35V","C10","04_MyFoot_Passive:CP_Elec_6.3x5.4","C970678"
"MLCC471","C8","04_MyFoot_Passive:C_3216Metric","C1868"
"CC472/1kV","C7","04_MyFoot_Passive:C_3216Metric","C9192"
"EC82uF/400V","C4","04_MyFoot_Passive:82uF_400V",""
"MP104K/275V","C3","04_MyFoot_Passive:104K_275V",""
