Ref,Val,Package,PosX,PosY,Rot,Side
"C5","MLCC104","C_3216Metric",53.000000,55.800000,-90.000000,top
"C6","MLCC102","C_3216Metric",48.500000,55.800000,-90.000000,top
"C7","CC472/1kV","C_3216Metric",68.000000,82.000000,0.000000,top
"C8","MLCC471","C_3216Metric",118.000000,19.000000,180.000000,top
"C9","MLCC104","C_3216Metric",54.500000,33.500000,180.000000,top
"C10","EC47uF/35V","CP_Elec_6.3x5.4",71.500000,46.000000,-90.000000,top
"C11","MLCC335","C_3216Metric",63.500000,15.000000,0.000000,top
"C12","MLCC104","C_3216Metric",85.500000,19.000000,180.000000,top
"C13","MLCC335","C_3216Metric",63.500000,12.000000,0.000000,top
"C15","MLCC102","C_3216Metric",63.500000,24.000000,0.000000,top
"C16","CC471/1kV","C_3216Metric",23.500000,80.500000,0.000000,top
"C17","CC471/1kV","C_3216Metric",38.000000,52.000000,180.000000,top
"C18","CC471/1kV","C_3216Metric",45.500000,20.500000,180.000000,top
"C19","MLCC224","C_3216Metric",63.500000,18.000000,180.000000,top
"C26","MLCC104","C_3216Metric",22.000000,70.000000,180.000000,top
"C27","MLCC104","C_3216Metric",26.000000,43.200000,90.000000,top
"C28","MLCC104","C_3216Metric",19.500000,16.500000,90.000000,top
"C29","EC220uF/25V","CP_Elec_6.3x7.7",16.000000,28.000000,-90.000000,top
"C30","MLCC104","C_3216Metric",26.500000,16.500000,90.000000,top
"D2","UF4007","D_SMA",67.000000,92.000000,-90.000000,top
"D3","UF4007","D_SMA",61.000000,55.500000,180.000000,top
"D4","BZT52C22","D_SOD-123",69.500000,56.000000,0.000000,top
"L1","10uH/4.2A","L_Sumida_CDMC6D28_7.25x6.5mm",5.000000,77.500000,0.000000,top
"L2","10uH/4.2A","L_Sumida_CDMC6D28_7.25x6.5mm",38.000000,43.000000,-90.000000,top
"L3","10uH/4.2A","L_Sumida_CDMC6D28_7.25x6.5mm",48.000000,13.000000,180.000000,top
"LED1","LED_SMD_KT_0805R","LED_2012Metric",91.500000,3.500000,0.000000,top
"LED2","LED_SMD_KT_0805R","LED_2012Metric",7.000000,52.000000,0.000000,top
"R2","2.2K","R_3216Metric",118.000000,22.500000,0.000000,top
"R3","1.1R/1W/F","R_6332Metric",70.000000,63.500000,90.000000,top
"R4","1.1R/1W/F","R_6332Metric",65.000000,63.500000,90.000000,top
"R6","4.7K","R_3216Metric",109.000000,21.000000,90.000000,top
"R7","4.7R","R_3216Metric",63.000000,45.000000,-90.000000,top
"R8","4.7R","R_3216Metric",66.000000,45.000000,90.000000,top
"R9","1K","R_3216Metric",76.000000,16.000000,180.000000,top
"R10","4.7K","R_3216Metric",76.000000,13.000000,180.000000,top
"R11","10K","R_3216Metric",76.000000,19.000000,180.000000,top
"R12","820R/F","R_3216Metric",76.000000,22.000000,180.000000,top
"R13","1.2K/F","R_3216Metric",76.000000,25.000000,0.000000,top
"R14","10R","R_4532Metric",17.500000,84.500000,-90.000000,top
"R15","10R","R_4532Metric",38.000000,56.000000,0.000000,top
"R16","10R","R_4532Metric",45.000000,27.000000,-90.000000,top
"R17","68K/F","R_3216Metric",63.500000,21.000000,0.000000,top
"R18","2K/F","R_3216Metric",63.500000,30.000000,180.000000,top
"R19","39K/F","R_3216Metric",63.500000,27.000000,0.000000,top
"R20","10K/F","R_3216Metric",55.500000,18.000000,0.000000,top
"R21","1.2K","R_3216Metric",98.000000,3.500000,180.000000,top
"R22","2.2K","R_3216Metric",7.000000,57.000000,180.000000,top
"R23","220R","R_3216Metric",107.500000,3.500000,0.000000,top
"R24","220R/1W","R_6332Metric",124.000000,3.500000,0.000000,top
"R25","2K/1W","R_6332Metric",143.500000,13.000000,-90.000000,top
"R27","100R","R_3216Metric",89.500000,8.500000,90.000000,top
"U2","EL354N","SOIC-4_EL354_P2.54mm",130.000000,13.000000,-90.000000,top
"U3","TLP785(GB-TP6F)","SOP-4_7.5x4.1mm_P2.54mm",78.000000,35.000000,90.000000,top
"U5","MOC3021SM","SOIC-6_P2.54mm",115.500000,11.500000,180.000000,top
"U6","LM7805_TO220","TO-252-2",24.000000,28.000000,90.000000,top
"VR1","TL431DBZ","SOT-23-3",53.500000,25.000000,180.000000,top
