Ref,PosX,PosY,Side,Rot
C6,51.5,36.3,top,180
C7,68,82,top,0
C8,118,19,top,180
C9,63,38,top,90
C10,71.5,46,top,-90
C11,63.5,15,top,0
C12,85.5,19,top,180
C13,63.5,12,top,0
C15,63.5,24,top,0
C16,17.5,84,top,90
C17,39,55,top,180
C18,45.5,20.5,top,180
C19,63.5,18,top,180
C26,16,65.5,top,-90
C27,26,43.2,top,90
C28,19.5,16.5,top,90
C29,16,28,top,-90
C30,26.5,16.5,top,90
D2,67,92,top,-90
D3,61,55.5,top,180
D4,69.5,56,top,0
D5,21,92.5,top,180
D6,30,54.5,top,-90
D7,34,35,top,180
D9,110,24,top,90
L1,5,77.5,top,0
L2,39,47.5,top,-90
L3,48,13,top,180
LED1,91.5,3.5,top,0
LED2,7,52,top,0
R3,70,63.5,top,90
R4,65,63.5,top,90
R6,104,24,top,-90
R7,63,45,top,-90
R8,66,45,top,90
R9,76,16,top,180
R10,76,13,top,180
R11,76,19,top,180
R12,76,22,top,180
R13,76,25,top,0
R14,24.5,83.3,top,180
R15,39,59.5,top,0
R16,45,27,top,-90
R17,63.5,21,top,0
R18,63.5,30,top,180
R19,63.5,27,top,0
R20,55.5,18,top,0
R21,98,3.5,top,180
R22,7,57,top,180
R23,107.5,3.5,top,0
R24,124,3.5,top,0
R25,143.5,13,top,-90
R27,89.5,8.5,top,90
R30,107,24,top,-90
R31,60,38,top,-90
R32,60,45,top,-90
U1,50,45,top,180
U2,130,13,top,-90
U3,78,35,top,90
U5,115.5,11.5,top,180
U6,24,28,top,90
VR1,53.5,25,top,180
