Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C13, C14, C15, C16, C19, C21, C23, C28, C30, C33, C4, C5, C52, C53, C60, C62, C64, C66, C7, C9",C_2012Metric,22,CL21B104K,
"C10, C2, C31, C34, C6",CP_Elec_4x5.4,5,10UF25V67RV,
"C12, C18",C_3216Metric,2,CG100J,
C20,C_2012Metric,1,CL31B475K,
C22,C_2012Metric,1,CL21C101J,
"C24, C3, C59, C65",C_3216Metric,4,CL31B106K,
"C25, C36, C41",C_Rect_W7.0mm_P15.00mm,3,0.1uF100V,
C26,CP_Elec_6.3x7.7,1,10UF100V67RV,
C27,CP_Radial_D16.0mm_P7.50mm,1,1000UF63V,
"C29, C8",CP_Elec_6.3x7.7,2,47UF50V67RV,
"C32, C35",C_2012Metric,2,CG330J,
"C37, C38, C43, C44",C_3216Metric,4,CL31B104K,
"C39, C40",C_2012Metric,2,CG220J,
C42,C_Rect_W7.0mm_P15.00mm,1,1uF100V,
C45,C_3216Metric,1,1206B105K101NT,
C46,C_3216Metric,1,1206B223K101NT,
"C47, C48",C_3216Metric,2,CL31B225K,
"C49, C57",C_3216Metric,2,1206CG331J101NT,
C50,CP_Elec_10x10.5,1,220UF50V67RV,
C51,C_3216Metric,1,CL31A226K,
C54,C_3216Metric,1,1206B103K101NT,
C55,C_3216Metric,1,1206CG102J101NT,
C56,C_3216Metric,1,1206CG101J101NT,
C58,C_3216Metric,1,103J100V,
"C61, C63",C_3216Metric,2,CL31B105K,
"C67, C68, C69, C70, C71",C_2012Metric,5,CL21B472K,
D1,SOT-23,1,BAV99,
"D10, D11, D12, D13, D14, D15, D16, D7, D8",LL4148_MELF,9,LL4148,
"D17, D18",D_SOD-323_HandSoldering,2,MM3Z3V6,
"D2, D3",D_SMB,2,SS24B,
"D4, D5",D_SOD-323_HandSoldering,2,BAT54WSQ-7,
D6,B3100_13_F,1,B3100-13-F,
D9,SOT-23,1,SM712-LF-T7,
"DCDC1, DCDC2",MUS2415N,2,MUS2415N,
FB1,R_3216Metric,1,CBG321609U,
"FC1, FC2",CP_Radial_D12.5mm_P5.00mm,2,470UF63V,
IC1,SOP65P640X110-21N,1,LM5005MHX_NOPB,
"J1, J7",SMW250_02P,2,SMW250-02P,
J2,TB_P5.00mm_6P,1,Screw_Terminal_01x06,
J3,IDC-Header_2x05_P2.54mm_Vertical,1,ARM_SWD_10,
J4,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06_HEADERPIN,
J5,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
J6,IDC-Header_2x10_P2.54mm_Vertical,1,Conn_02x10_Odd_Even,
J8,IDC-Header_2x13_P2.54mm_Latch_Vertical,1,Conn_02x13_Odd_Even,
"K1, K4, K6, K9",G6A274PST15USDC12,4,G6A274,
"K2, K3, K5, K7, K8",PA1A5V,5,PA1A_5V,
L1,L_Radial_D10.0mm_P5.00mm,1,3.3uH,
L2,L_Radial_D10.0mm_P5.00mm,1,3.9uH,
L3,L_Radial_D10.0mm_P5.00mm,1,33uH,
L4,L_Radial_D10.0mm_P5.00mm,1,1.5uH,
L5,L_Radial_D10.0mm_P5.00mm,1,2.2uH,
L6,L_Radial_D10.0mm_P5.00mm,1,2.7uH,
L7,L_Radial_D10.0mm_P5.00mm,1,4.7uH,
L8,L_Radial_D10.0mm_P5.00mm,1,6.8uH,
"Q1, Q2",TO-252-2,2,STD7N10F7,
"R1, R14, R2, R25, R39, R42, R44, R46, R48",R_2012Metric,9,W8J0103,
"R10, R17",R_Axial_2W_P20.32mm,2,15K/3W,
"R11, R13",R_2012Metric,2,0805FR-0747RL,
"R12, R19",R_4532Metric,2,1812J103,
R15,R_2012Metric,1,0805FR-07100K,
"R16, R9",R_6332Metric,2,25121WF470,
R18,R_Axial_2W_P20.32mm,1,22K/3W,
"R20, R21, R34",R_3216Metric,3,W4F1002,
R22,R_2012Metric,1,0805FR-0733RL,
R23,R_3216Metric,1,W4J0123,
R24,R_2012Metric,1,W4J0334,
R26,2512,1,FRL2512FR047TS-47mohm,
R27,R_3216Metric,1,W4F7502,
R28,R_3216Metric,1,W4F9102,
R29,R_3216Metric,1,W4J0223,
"R3, R4",R_3216Metric,2,AR06CTC0500,
R30,R_3216Metric,1,W4F4992,
R31,R_3216Metric,1,W4J0333,
R32,R_3216Metric,1,W4J0100,
R33,R_3216Metric,1,W4F4991,
R35,R_3216Metric,1,W4F8871,
"R36, R40",R_2012Metric,2,W8J0431,
R37,R_3216Metric,1,W4J0121,
"R38, R41, R43, R45, R47",R_3216Metric,5,W4J0472,
"R49, R50",R_3216Metric,2,W4J0102,
"R5, R6, R7, R8",R_3216Metric,4,W4F4700,
R51,R_3216Metric,1,W4F0000,
SW1,SW_SPST_TS-1088-xR025,1,SW_Push,
SW2,CHS-02B_W7.62mm_P1.27mm,1,DSHP02T,
T1,Toroid_OD20mm_ID10-T6T12,1,TOROID_OUTPUT_OD20_T6T12,
T2,Toroid_OD16mm_ID9.6-T1T20,1,TOROID_CT_OD16_T1T20,
U1,SOT-223-3_TabPin2,1,AMS1117-3.3,
"U10, U11, U12, U6, U9",SOIC-4_4.55x3.7mm_P2.54mm,5,TLP185GB-S,
U2,SOIC-16W_7.5x10.3mm_P1.27mm,1,UCC21520DWR,
U3,LQFP-64_10x10mm_P0.5mm,1,STM32G474RBT6,
U4,SOT-363_SC-70-6,1,INA190A3IDCKR,
U5,SOIC-8_3.9x4.9mm_P1.27mm,1,MAX3485ESA,
"U7, U8",SOIC-16_3.9x9.9mm_P1.27mm,2,ULN2003ADR,
Y1,Crystal_SMD_HC49-SD,1,X49SM8M,
