Designator,Mid X,Mid Y,Rotation,Layer
C1,29.5,136,0,top
C10,152.5,116.5,180,top
C11,75.5,88,270,top
C12,196.5,31.5,90,top
C13,75.5,71.5,270,top
C14,105,55,0,top
C15,123,93,180,top
C16,81,97.5,90,top
C18,196.5,42,270,top
C19,113.5,55,180,top
C2,38.5,133,90,top
C20,113.5,52.5,180,top
C21,55,68.5,0,top
C22,58,120,90,top
C23,105,52.5,180,top
C24,105.5,49.5,180,top
C25,84,138,270,top
C26,73.5,134,0,top
C27,97.5,140,90,top
C28,162.5,120.5,180,top
C29,162,127.5,180,top
C3,29.5,131,0,top
C30,172.5,112.5,180,top
C31,172,116.5,180,top
C32,50,95.5,0,top
C33,141,107.5,180,top
C34,141,111.5,180,top
C35,50,86.5,0,top
C36,193,116,90,top
C37,155,55,0,top
C38,155,67,0,top
C39,123.5,82,90,top
C4,29.5,133.5,0,top
C40,123.5,88,270,top
C41,192.5,92.5,90,top
C42,152,138,0,top
C43,155,51,180,top
C44,155,71,180,top
C45,94,126,0,top
C46,109.5,125.5,90,top
C47,102.7,128.3,180,top
C48,102.7,125.8,180,top
C49,120,130.5,90,top
C5,29,111,0,top
C50,131,142.5,90,top
C51,122.5,141.5,90,top
C52,136,106.5,90,top
C53,80,120.5,90,top
C54,94,109.5,180,top
C55,120,113,270,top
C56,89.5,114,270,top
C57,107,105,90,top
C58,101,105,90,top
C59,130,50,270,top
C6,29.5,115.5,0,top
C60,126.5,50,270,top
C61,100.5,20,0,top
C62,106.5,21,270,top
C63,15,73.5,180,top
C64,14.5,70,180,top
C65,61,53.5,270,top
C66,58,53,270,top
C67,22,63,90,top
C68,22,55.5,90,top
C69,22,48,90,top
C7,139.5,120.5,180,top
C70,22,40.5,90,top
C71,22,33,90,top
C8,139,127.5,180,top
C9,153,112.5,180,top
D1,55,74,180,top
D10,80.5,43,90,top
D11,149.5,39,0,top
D12,70.5,43,90,top
D13,137,39,0,top
D14,60.5,43,90,top
D15,50.5,43,90,top
D16,125,39,0,top
D17,148.5,55,0,top
D18,148.5,67,0,top
D2,159.5,107.5,0,top
D3,159.5,93,0,top
D4,155.5,59,0,top
D5,155.5,63,0,top
D6,115,128,270,top
D7,162,39,0,top
D8,90.5,43,90,top
D9,106.5,15,270,top
FB1,114,49.5,180,top
FC1,172.5,141,0,top
FC2,186,141,0,top
H1,74,4,0,top
H2,196,4,0,top
H3,74,146,0,top
H4,196,146,0,top
IC1,107.4,115,0,top
L1,175,20,270,top
L2,187,8,270,top
L3,114,142,0,top
L4,175,8,90,top
L5,162,8,180,top
L6,149.5,8,180,top
L7,137,8,180,top
L8,124.5,8,180,top
Q1,173.5,99.5,0,top
Q2,173.5,85,0,top
R1,55,71,180,top
R10,184.5,116,90,top
R11,120,83,0,top
R12,160,98.5,180,top
R13,120,87,0,top
R14,141,105,0,top
R15,141,102.5,0,top
R16,159,88,180,top
R17,184.5,92.5,90,top
R18,153,145.5,0,top
R19,160,83.5,180,top
R2,58,126,90,top
R20,155,47,180,top
R21,155,75,180,top
R22,80,114,90,top
R23,94,123,180,top
R24,94.5,120,0,top
R25,78.5,97.5,90,top
R26,128,128,180,top
R27,123.5,118.5,90,top
R28,127,118.5,90,top
R29,95.5,114,90,top
R3,162,59,0,top
R30,92.5,114,90,top
R31,104,105,90,top
R32,120,125,90,top
R33,123.5,113,90,top
R34,127,113,90,top
R35,94,106.5,180,top
R36,102,15,270,top
R37,111.5,26,180,top
R38,7,63.5,90,top
R39,24.5,63,270,top
R4,162,63,0,top
R40,99,15,270,top
R41,7,56,90,top
R42,24.5,55.5,270,top
R43,7,48.5,90,top
R44,24.5,48,270,top
R45,7,41,90,top
R46,24.5,40.5,270,top
R47,7,33.5,90,top
R48,24.5,33,270,top
R49,148.5,59,180,top
R5,162,55,0,top
R50,148.5,63,180,top
R51,120,106,90,top
R6,162,51,0,top
R7,162,67,0,top
R8,162,71,0,top
R9,159,103,180,top
SW1,50,71.5,270,top
SW2,111.5,18,270,top
T1,185.5,63.5,270,top
T2,182.5,37.5,180,top
U1,29.5,124,270,top
U10,14.5,48,270,top
U11,14.5,40.5,270,top
U12,14.5,33,270,top
U2,140,88,270,top
U3,98,82.5,270,top
U4,131.5,111.5,0,top
U5,100.5,27.5,180,top
U6,14.5,63,270,top
U7,137.5,50,180,top
U8,69,55,180,top
U9,14.5,55.5,270,top
Y1,56,91,90,top
